week,hour,station_no,rent,lend,time_id
0,0,500119067,0,1,0-0
0,1,500119067,1,2,0-1
0,2,500119067,0,0,0-2
0,3,500119067,0,0,0-3
0,4,500119067,0,0,0-4
0,5,500119067,0,0,0-5
0,6,500119067,0,0,0-6
0,7,500119067,10,2,0-7
0,8,500119067,14,14,0-8
0,9,500119067,9,9,0-9
0,10,500119067,16,4,0-10
0,11,500119067,2,17,0-11
0,12,500119067,11,16,0-12
0,13,500119067,15,4,0-13
0,14,500119067,8,12,0-14
0,15,500119067,15,8,0-15
0,16,500119067,2,11,0-16
0,17,500119067,3,8,0-17
0,18,500119067,9,8,0-18
0,19,500119067,5,5,0-19
0,20,500119067,9,9,0-20
0,21,500119067,1,2,0-21
0,22,500119067,0,0,0-22
0,23,500119067,0,0,0-23
1,0,500119067,1,0,1-0
1,1,500119067,1,1,1-1
1,2,500119067,0,1,1-2
1,3,500119067,0,0,1-3
1,4,500119067,0,0,1-4
1,5,500119067,0,0,1-5
1,6,500119067,0,0,1-6
1,7,500119067,7,3,1-7
1,8,500119067,10,6,1-8
1,9,500119067,11,5,1-9
1,10,500119067,18,6,1-10
1,16,500119067,8,10,1-16
1,17,500119067,3,2,1-17
1,18,500119067,8,8,1-18
1,19,500119067,3,3,1-19
1,20,500119067,1,1,1-20
1,21,500119067,2,1,1-21
1,22,500119067,4,5,1-22
1,23,500119067,2,2,1-23
2,0,500119067,0,1,2-0
2,1,500119067,2,0,2-1
2,2,500119067,0,0,2-2
2,3,500119067,0,0,2-3
2,4,500119067,0,0,2-4
2,5,500119067,0,0,2-5
2,6,500119067,0,0,2-6
2,7,500119067,8,7,2-7
2,8,500119067,19,3,2-8
2,9,500119067,13,10,2-9
2,10,500119067,6,8,2-10
2,11,500119067,13,9,2-11
2,12,500119067,8,11,2-12
2,13,500119067,7,19,2-13
2,14,500119067,3,10,2-14
2,15,500119067,14,8,2-15
2,16,500119067,5,13,2-16
2,17,500119067,3,3,2-17
2,18,500119067,3,3,2-18
2,19,500119067,2,2,2-19
2,20,500119067,4,3,2-20
2,21,500119067,2,3,2-21
2,22,500119067,0,1,2-22
2,23,500119067,1,1,2-23
3,0,500119067,1,0,3-0
3,1,500119067,0,0,3-1
3,2,500119067,0,0,3-2
3,3,500119067,0,0,3-3
3,4,500119067,0,0,3-4
3,5,500119067,0,0,3-5
3,6,500119067,0,0,3-6
3,7,500119067,11,2,3-7
3,8,500119067,13,9,3-8
3,9,500119067,15,15,3-9
3,10,500119067,17,10,3-10
3,11,500119067,7,13,3-11
3,12,500119067,23,22,3-12
3,13,500119067,11,8,3-13
3,14,500119067,1,20,3-14
3,15,500119067,15,6,3-15
3,16,500119067,5,12,3-16
3,17,500119067,4,4,3-17
3,18,500119067,3,4,3-18
3,19,500119067,4,5,3-19
3,20,500119067,2,2,3-20
3,21,500119067,1,1,3-21
3,22,500119067,1,0,3-22
3,23,500119067,5,4,3-23
4,0,500119067,0,2,4-0
4,1,500119067,1,0,4-1
4,2,500119067,2,1,4-2
4,3,500119067,0,0,4-3
4,4,500119067,0,0,4-4
4,5,500119067,0,0,4-5
4,6,500119067,0,1,4-6
4,7,500119067,5,1,4-7
4,8,500119067,12,3,4-8
4,9,500119067,17,8,4-9
4,10,500119067,11,8,4-10
4,11,500119067,10,13,4-11
4,12,500119067,13,25,4-12
4,13,500119067,16,10,4-13
4,14,500119067,10,13,4-14
4,15,500119067,4,18,4-15
4,16,500119067,3,3,4-16
4,17,500119067,2,1,4-17
4,18,500119067,2,3,4-18
4,19,500119067,4,4,4-19
4,20,500119067,2,2,4-20
4,21,500119067,3,3,4-21
4,22,500119067,4,4,4-22
4,23,500119067,3,0,4-23
5,0,500119067,1,0,5-0
5,1,500119067,5,0,5-1
5,2,500119067,0,0,5-2
5,3,500119067,0,8,5-3
5,4,500119067,0,0,5-4
5,5,500119067,0,0,5-5
5,6,500119067,0,1,5-6
5,7,500119067,2,1,5-7
5,8,500119067,7,2,5-8
5,9,500119067,7,9,5-9
5,10,500119067,21,8,5-10
5,11,500119067,9,4,5-11
5,12,500119067,4,25,5-12
5,13,500119067,17,8,5-13
5,14,500119067,6,6,5-14
5,15,500119067,8,6,5-15
5,16,500119067,3,14,5-16
5,17,500119067,5,6,5-17
5,18,500119067,6,4,5-18
5,19,500119067,4,4,5-19
5,20,500119067,4,3,5-20
5,21,500119067,1,4,5-21
5,22,500119067,4,2,5-22
5,23,500119067,0,2,5-23
6,0,500119067,2,1,6-0
6,1,500119067,1,0,6-1
6,2,500119067,0,0,6-2
6,3,500119067,0,0,6-3
6,4,500119067,0,0,6-4
6,5,500119067,0,0,6-5
6,6,500119067,0,1,6-6
6,7,500119067,1,0,6-7
6,8,500119067,1,2,6-8
6,9,500119067,6,1,6-9
6,10,500119067,9,5,6-10
6,11,500119067,3,3,6-11
6,12,500119067,2,3,6-12
6,13,500119067,8,5,6-13
6,14,500119067,14,6,6-14
6,15,500119067,3,9,6-15
6,16,500119067,3,4,6-16
6,17,500119067,1,13,6-17
6,18,500119067,1,2,6-18
6,19,500119067,3,1,6-19
6,20,500119067,1,3,6-20
6,21,500119067,12,2,6-21
6,22,500119067,2,7,6-22
6,23,500119067,0,3,6-23
