week,hour,station_no,rent,lend,time_id
0,0,500119053,0,0,0-0
0,1,500119053,0,5,0-1
0,2,500119053,0,0,0-2
0,3,500119053,0,0,0-3
0,4,500119053,0,0,0-4
0,5,500119053,0,0,0-5
0,6,500119053,2,0,0-6
0,7,500119053,1,0,0-7
0,8,500119053,16,18,0-8
0,9,500119053,7,1,0-9
0,10,500119053,12,7,0-10
0,11,500119053,4,5,0-11
0,12,500119053,4,5,0-12
0,13,500119053,6,10,0-13
0,14,500119053,4,7,0-14
0,15,500119053,11,2,0-15
0,16,500119053,1,7,0-16
0,17,500119053,0,8,0-17
0,18,500119053,17,17,0-18
0,19,500119053,17,3,0-19
0,20,500119053,1,6,0-20
0,21,500119053,0,8,0-21
0,22,500119053,1,2,0-22
0,23,500119053,0,0,0-23
1,0,500119053,1,1,1-0
1,1,500119053,1,0,1-1
1,2,500119053,0,0,1-2
1,3,500119053,0,0,1-3
1,4,500119053,0,0,1-4
1,5,500119053,0,0,1-5
1,6,500119053,2,0,1-6
1,7,500119053,6,0,1-7
1,8,500119053,11,6,1-8
1,9,500119053,7,6,1-9
1,10,500119053,5,8,1-10
1,16,500119053,4,15,1-16
1,17,500119053,15,9,1-17
1,18,500119053,1,7,1-18
1,19,500119053,2,2,1-19
1,20,500119053,14,4,1-20
1,21,500119053,0,7,1-21
1,22,500119053,0,3,1-22
1,23,500119053,0,0,1-23
2,0,500119053,3,1,2-0
2,1,500119053,0,0,2-1
2,2,500119053,0,0,2-2
2,3,500119053,0,0,2-3
2,4,500119053,0,0,2-4
2,5,500119053,0,0,2-5
2,6,500119053,2,2,2-6
2,7,500119053,5,0,2-7
2,8,500119053,12,18,2-8
2,9,500119053,6,0,2-9
2,10,500119053,8,3,2-10
2,11,500119053,7,2,2-11
2,12,500119053,8,13,2-12
2,13,500119053,5,3,2-13
2,14,500119053,4,4,2-14
2,15,500119053,11,13,2-15
2,16,500119053,4,9,2-16
2,17,500119053,4,10,2-17
2,18,500119053,15,15,2-18
2,19,500119053,16,4,2-19
2,20,500119053,0,4,2-20
2,21,500119053,1,7,2-21
2,22,500119053,0,3,2-22
2,23,500119053,3,1,2-23
3,0,500119053,1,0,3-0
3,1,500119053,1,0,3-1
3,2,500119053,0,0,3-2
3,3,500119053,0,0,3-3
3,4,500119053,0,0,3-4
3,5,500119053,0,0,3-5
3,6,500119053,2,1,3-6
3,7,500119053,4,1,3-7
3,8,500119053,6,11,3-8
3,9,500119053,9,1,3-9
3,10,500119053,4,0,3-10
3,11,500119053,6,6,3-11
3,12,500119053,8,16,3-12
3,13,500119053,10,4,3-13
3,14,500119053,6,6,3-14
3,15,500119053,10,5,3-15
3,16,500119053,5,17,3-16
3,17,500119053,7,11,3-17
3,18,500119053,2,2,3-18
3,19,500119053,14,2,3-19
3,20,500119053,0,6,3-20
3,21,500119053,1,7,3-21
3,22,500119053,2,2,3-22
3,23,500119053,3,0,3-23
4,0,500119053,1,1,4-0
4,1,500119053,0,1,4-1
4,2,500119053,1,0,4-2
4,3,500119053,1,0,4-3
4,4,500119053,0,0,4-4
4,5,500119053,0,0,4-5
4,6,500119053,1,0,4-6
4,7,500119053,2,4,4-7
4,8,500119053,8,2,4-8
4,9,500119053,6,15,4-9
4,10,500119053,18,4,4-10
4,11,500119053,10,9,4-11
4,12,500119053,15,23,4-12
4,13,500119053,13,13,4-13
4,14,500119053,11,2,4-14
4,15,500119053,3,15,4-15
4,16,500119053,3,7,4-16
4,17,500119053,0,0,4-17
4,18,500119053,11,2,4-18
4,19,500119053,2,10,4-19
4,20,500119053,1,2,4-20
4,21,500119053,0,0,4-21
4,22,500119053,0,0,4-22
4,23,500119053,0,0,4-23
5,0,500119053,2,0,5-0
5,1,500119053,0,0,5-1
5,2,500119053,0,0,5-2
5,3,500119053,0,0,5-3
5,4,500119053,0,0,5-4
5,5,500119053,0,0,5-5
5,6,500119053,0,0,5-6
5,7,500119053,0,0,5-7
5,8,500119053,3,1,5-8
5,9,500119053,3,0,5-9
5,10,500119053,2,1,5-10
5,11,500119053,4,1,5-11
5,12,500119053,3,2,5-12
5,13,500119053,5,1,5-13
5,14,500119053,4,3,5-14
5,15,500119053,2,6,5-15
5,16,500119053,2,5,5-16
5,17,500119053,4,2,5-17
5,18,500119053,2,3,5-18
5,19,500119053,1,2,5-19
5,20,500119053,1,6,5-20
5,21,500119053,1,4,5-21
5,22,500119053,0,2,5-22
5,23,500119053,0,0,5-23
6,0,500119053,2,0,6-0
6,1,500119053,0,0,6-1
6,2,500119053,0,0,6-2
6,3,500119053,0,0,6-3
6,4,500119053,0,0,6-4
6,5,500119053,0,1,6-5
6,6,500119053,1,0,6-6
6,7,500119053,1,0,6-7
6,8,500119053,1,1,6-8
6,9,500119053,4,2,6-9
6,10,500119053,2,2,6-10
6,11,500119053,4,3,6-11
6,12,500119053,0,1,6-12
6,13,500119053,10,2,6-13
6,14,500119053,4,7,6-14
6,15,500119053,1,5,6-15
6,16,500119053,2,2,6-16
6,17,500119053,9,7,6-17
6,18,500119053,0,3,6-18
6,19,500119053,3,0,6-19
6,20,500119053,0,0,6-20
6,21,500119053,2,3,6-21
6,22,500119053,3,2,6-22
6,23,500119053,1,2,6-23
